rank,organization,country,segment,route_type,target_role,public_email,contact_channel,fit_offer,fit_score,access_score,timing_score,risk_score,priority_score,source_url,verified_at_utc,next_action,notes
1,IECS,Argentina,Salud e investigación,alianza_y_compra,"Dirección del Centro de Implementación e Innovación en Políticas de Salud",info@iecs.org.ar,https://iecs.org.ar/comunicacion-iecs/contacto/,"Auditoría de datos públicos y observatorio",5,5,5,1,19,https://iecs.org.ar/autoridades-y-comision-directiva/,2026-09-22,"Enviar nota de 180 palabras y proponer piloto sobre una jurisdicción","Socio implementador con capacidad técnica y vínculo regional"
2,"Marval O'Farrell Mairal",Argentina,Legal y compliance,subcontratacion,"Socio de Compliance e Investigaciones",aof@marval.com,https://www.marval.com/profesional/andres-ofarrell-965/?lang=en,"Evidence Sprint y Data Room",5,5,4,2,17,https://www.marval.com/areas-de-practica/compliance-anticorrupcion-e-investigaciones-101?lang=en,2026-09-22,"Enviar ficha jurídica y ofrecer apoyo de fuente abierta bajo NDA","Encaje directo con investigaciones internas y due diligence"
3,"Bruchou & Funes de Rioja",Argentina,Legal y compliance,subcontratacion,"Socio de Compliance e Investigaciones",fernando.basch@bruchoufunes.com,https://bruchoufunes.com/profesionales/basch-fernando/,"Evidence Sprint y Data Room",5,5,4,2,17,https://bruchoufunes.com/areas-de-practica/compliance-investigaciones-y-derecho-penal-empresario/,2026-09-22,"Enviar ficha y pedir reunión breve de encuadre","Práctica explícita de investigaciones corporativas"
4,Kroll,Argentina,Riesgo e investigaciones,subcontratacion,"Head of Argentina, Investigations Diligence and Compliance",jcamirante@kroll.com,https://www.kroll.com/en/global-locations/latin-america/buenos-aires,"Data Room y capacidad local OSINT",5,4,4,2,16,https://www.kroll.com/en/our-experts/juan-cruz-amirante,2026-09-22,"Proponer capacidad local de recolección documental en español","Empresa compradora o partner más que cliente final simple"
5,"Ministerio de Salud de la Provincia de Buenos Aires",Argentina,Salud pública,compra_publica,"Dirección de Estadísticas e Información en Salud",,https://www.gba.gob.ar/saludprovincia/contacto,"Auditoría de datos de suicidio",5,3,5,2,16,https://www.gba.gob.ar/saludprovincia/noticias/se_firm%C3%B3_un_convenio_para_consolidar_y_unificar_las_estad%C3%ADsticas_sobre,2026-09-22,"Solicitar derivación técnica y monitorear contrataciones","Convenio 2026 crea una necesidad explícita de consolidación estadística"
6,OPS/OMS,Regional,Salud pública,registro_proveedor,"Procurement y unidad de salud mental",proitsupport@paho.org,https://www.paho.org/es/doing-business-paho/become-vendor,"Auditoría de datos y observatorio regional",5,3,5,2,16,https://www.paho.org/es/doing-business-paho/become-vendor,2026-09-22,"Completar registro UNGM y preparar capability statement en inglés","Canal formal de compra. El correo indicado es de soporte de registro"
7,PNUD Argentina,Argentina,Desarrollo y gobernanza,compra_publica,"Contracts and Procurement",adquisiciones.pnud@undp.org,https://www.undp.org/argentina/contact,"Auditoría documental y monitoreo",4,4,4,1,15,https://www.undp.org/argentina/contact,2026-09-22,"Solicitar alta en alertas de adquisiciones y presentar capacidad","Ruta de compra pública y transparente"
8,"Banco Interamericano de Desarrollo",Regional,Desarrollo,registro_proveedor,"BEO Procurement",,https://beo-procurement.iadb.org/,"Productos intelectuales y asesoría",5,3,4,1,16,https://www.iadb.org/en/how-we-can-work-together/procurement/corporate-procurement,2026-09-22,"Obtener Business Partner Number y cargar perfil de firma","BEO contrata firmas para productos intelectuales y advisory"
9,CLIP,Regional,Periodismo de investigación,alianza_editorial,"Equipo de investigaciones",investigaciones@elclip.org,https://www.elclip.org/nos-faltas-tu/,"Investigación transfronteriza y data room",5,5,4,2,17,https://www.elclip.org/nos-faltas-tu/,2026-09-22,"Enviar pitch sin adjuntos sensibles con método y ángulo regional","Canal explícito para evidencias y colaboraciones"
10,Pulitzer Center,Global,Financiamiento periodístico,grant,"Transparency and Governance grants",,https://pulitzercenter.org/transparency-governance-reporting-grants,"Financiar una investigación con plan de publicación",4,5,5,1,17,https://pulitzercenter.org/transparency-governance-reporting-grants,2026-09-22,"Preparar resumen de 250 palabras, presupuesto y carta de publicación","Convocatoria abierta y rolling. No financia investigación académica aislada"
